Дата;Год1;Год2;Год3;Год4;Год5;Год6;Год7;Год8;Год9;Год10;Год11;Год12;Год13;Год14;Год15;Год16;Год17;Год18;Год19;Год20;Год21;Год22;Год23;Год24
01.01.2025;3500;2900;2440;2250;1940;2000;750;1940;990;875;490;500;490;1111;2630;4180;5200;8300;8200;6600;6600;5980;4180;3970
02.01.2025;2500;2664;2000;1199;2000;2500;4000;5380;4680;5000;4400;4650;4350;4650;5567.26;5500;5566.31;8200;8200;7100;6600;5980;4980;4780
03.01.2025;3800;2500;2000;1999;2000;2500;3920;5380;6200;6837.52;6200;5564.71;5565.85;5600;5600;5600;5600;8000;7900;6975;6975;5980;5980;6200
04.01.2025;4304;3920;3904;2890;2678;3920;3920;4584;6200;6200;4584;3969;3149;3970;4980;5567.44;5600;8942.61;8400;8918.51;8947.11;7900;6180;6851.44
05.01.2025;4745;4320;3920;3920;3920;4289;4320;4544;4680;3943;2850;2819;2850;2998;3943;5521;5600;8600;8100;7226.35;6800;6790;4980;5180
06.01.2025;3920;2678;2500;2000;2000;2500;2890;4680;6800;6900;6900;5600;5600;5600;5600;5600;5600;8700;8100;8600;7900;6800;5980;6200
07.01.2025;3920;3000;2500;2500;2500;2890;3889;4000;6400;6800;5880;4650;4350;4800;5568.09;5600;5600;8600;8100;7540;7091;6701;5980;5180
08.01.2025;3889;3880;2890;2678;2678;3880;4289;5300;6875.3;6900;6600;5250;4650;4980;5600;5600;5600;8950.66;8950.5;8943.81;8356;8094;5600;6875.14
09.01.2025;4745;4318;4318;3880;4318;4320;4745;6875.37;6900;6900;6650;4980;4600;4980;5564.78;5600;5600;8200;8000;8116;7188;6790;5580;6877.01
10.01.2025;4318;3879;2890;2500;2500;3500;4000;5380;6800;6900;6900;5600;5600;5600;5600;5600;5600;8000;7900;7900;6800;6543;5580;6800
11.01.2025;5539.55;5180;4745;4308;4308;4745;5180;5380;6100;6800;5860;5250;4650;4650;5567.51;5600;5600;9000;8951.37;8950.69;8947.63;8950.18;6790;6872.01
12.01.2025;5400;5180;4318;3879;3879;4308;4308;4680;4680;4800;3190;2890;2890;3500;4350;5100;5569.43;8600;8600;7900;7900;7999;5700;6600
13.01.2025;3868;3300;3000;2678;2699;3000;3829;6507;6800;6875.1;6600;5250;4350;5250;5563.6;5600;5600;8936.24;8818;7900;7900;7680;6396;6650
14.01.2025;4745;3500;3500;3000;3300;3500;4308;6417;6900;6874.62;6300;4650;3934;4339;5250;5600;5600;8989.22;9000;8992.69;8700;8700;6790;6862.71
15.01.2025;4745;3800;3500;3000;3000;3500;4308;6876.97;6900;6900;6900;5600;5600;5600;5600;5600;5600;9000;9000;9000;9000;9000;8991.14;6874.61
16.01.2025;4308;3000;2890;2678;2890;2890;3868;6650;6900;6900;6900;5600;5600;5600;5600;5600;5600;9000;9000;9000;8989.5;8600;6800;5860
17.01.2025;3600;2890;2678;2500;2000;2678;3868;6594;6900;6900;6900;5600;5600;5600;5600;5600;5600;8950;8950;8920.55;8242;7900;6912.67;6872.76
18.01.2025;3500;2678;2490;2490;2490;2678;2890;5180;5700;6850;6850;5600;5100;5100;5100;5500;5565.54;8200;7900;7641.26;8200;8988.69;7300;6877.67
19.01.2025;3868;3500;3300;2890;2890;3300;3300;5180;6100;6500;5180;4000;2890;2840;3890;4980;5400;8700;8450;8600;8700;8988.79;8990.02;6872.12
20.01.2025;3500;2890;2890;2678;2678;3000;4308;6876.12;6871.4;6850;4680;3099;2500;2833;4500;5500;5600;9000;8991.9;8991.61;8900;8900;7300;6870.59
21.01.2025;3800;3000;2890;2678;2678;3000;4308;6850;6900;6900;6900;5600;5600;5600;5600;5600;5600;9000;9000;8992.76;8970;8970;7777;6800
22.01.2025;3300;2890;2000;2000;2000;2890;4000;6300;6900;6900;6900;5600;5600;5600;5600;5600;5600;9000;8993.17;8970;8700;8600;7700;6000
