Datetime,Temperature,Cloud_Cover,Wind_Speed,Shortwave_Radiation
2026-01-01 00:00:00,-7.3,100,15.0,0.0
2026-01-01 01:00:00,-7.5,100,14.7,0.0
2026-01-01 02:00:00,-7.8,100,15.1,0.0
2026-01-01 03:00:00,-8.9,97,15.5,0.0
2026-01-01 04:00:00,-10.1,100,16.1,0.0
2026-01-01 05:00:00,-10.9,100,14.0,0.0
2026-01-01 06:00:00,-11.9,100,13.4,0.0
2026-01-01 07:00:00,-11.8,96,13.7,29.0
2026-01-01 08:00:00,-12.1,90,15.0,115.0
2026-01-01 09:00:00,-12.4,98,14.5,205.0
2026-01-01 10:00:00,-12.2,100,13.3,255.0
2026-01-01 11:00:00,-11.8,100,12.5,245.0
2026-01-01 12:00:00,-11.1,100,12.7,198.0
2026-01-01 13:00:00,-11.1,100,12.4,101.0
2026-01-01 14:00:00,-10.9,80,10.7,35.0
2026-01-01 15:00:00,-11.7,13,6.0,0.0
2026-01-01 16:00:00,-14.4,47,6.8,0.0
2026-01-01 17:00:00,-11.9,100,10.4,0.0
2026-01-01 18:00:00,-9.9,100,12.4,0.0
2026-01-01 19:00:00,-8.3,87,16.4,0.0
2026-01-01 20:00:00,-8.1,59,18.4,0.0
2026-01-01 21:00:00,-7.9,100,19.8,0.0
2026-01-01 22:00:00,-6.5,100,22.5,0.0
2026-01-01 23:00:00,-5.8,100,24.0,0.0
2026-01-02 00:00:00,-5.3,100,23.1,0.0
2026-01-02 01:00:00,-5.7,100,23.8,0.0
2026-01-02 02:00:00,-5.1,100,24.1,0.0
2026-01-02 03:00:00,-4.9,100,22.7,0.0
2026-01-02 04:00:00,-4.5,100,22.7,0.0
2026-01-02 05:00:00,-4.2,100,23.2,0.0
2026-01-02 06:00:00,-4.1,100,22.5,0.0
2026-01-02 07:00:00,-3.5,100,23.1,13.0
2026-01-02 08:00:00,-3.3,100,23.6,63.0
2026-01-02 09:00:00,-2.8,100,23.7,125.0
2026-01-02 10:00:00,-2.2,100,24.3,178.0
2026-01-02 11:00:00,-1.2,100,24.0,169.0
2026-01-02 12:00:00,-1.0,100,24.5,153.0
2026-01-02 13:00:00,-0.8,100,22.2,99.0
2026-01-02 14:00:00,-0.6,100,21.0,30.0
2026-01-02 15:00:00,-0.5,100,20.1,0.0
2026-01-02 16:00:00,-0.6,98,17.8,0.0
2026-01-02 17:00:00,-1.0,88,16.0,0.0
2026-01-02 18:00:00,-1.5,98,14.8,0.0
2026-01-02 19:00:00,-1.5,100,14.1,0.0
2026-01-02 20:00:00,-1.2,100,12.4,0.0
2026-01-02 21:00:00,-1.4,100,11.1,0.0
2026-01-02 22:00:00,-1.4,100,11.7,0.0
2026-01-02 23:00:00,-1.1,100,11.0,0.0
2026-01-03 00:00:00,-0.8,100,13.7,0.0
2026-01-03 01:00:00,-0.6,100,14.3,0.0
2026-01-03 02:00:00,-0.6,100,14.3,0.0
2026-01-03 03:00:00,-0.5,100,15.3,0.0
2026-01-03 04:00:00,-0.8,100,14.8,0.0
2026-01-03 05:00:00,-0.9,100,13.9,0.0
2026-01-03 06:00:00,-1.3,100,10.3,0.0
2026-01-03 07:00:00,-0.8,100,11.1,26.0
2026-01-03 08:00:00,-0.3,100,9.1,95.0
2026-01-03 09:00:00,-0.3,100,6.6,204.0
2026-01-03 10:00:00,0.3,100,7.0,249.0
2026-01-03 11:00:00,0.7,100,6.6,219.0
2026-01-03 12:00:00,0.8,100,6.4,193.0
2026-01-03 13:00:00,-0.5,99,6.0,100.0
2026-01-03 14:00:00,-1.2,100,8.4,34.0
2026-01-03 15:00:00,-1.6,99,9.7,0.0
2026-01-03 16:00:00,-1.5,30,12.1,0.0
2026-01-03 17:00:00,-2.5,4,13.9,0.0
2026-01-03 18:00:00,-2.5,5,12.8,0.0
2026-01-03 19:00:00,-2.9,9,14.8,0.0
2026-01-03 20:00:00,-3.2,0,14.2,0.0
2026-01-03 21:00:00,-3.6,0,16.3,0.0
2026-01-03 22:00:00,-3.5,0,18.6,0.0
2026-01-03 23:00:00,-4.2,0,15.4,0.0
2026-01-04 00:00:00,-5.1,0,11.8,0.0
2026-01-04 01:00:00,-5.4,0,14.4,0.0
2026-01-04 02:00:00,-5.6,0,14.3,0.0
2026-01-04 03:00:00,-5.8,0,13.5,0.0
2026-01-04 04:00:00,-6.1,0,12.5,0.0
2026-01-04 05:00:00,-6.5,0,15.5,0.0
2026-01-04 06:00:00,-6.3,0,16.8,0.0
2026-01-04 07:00:00,-5.9,8,13.9,45.0
2026-01-04 08:00:00,-5.1,100,14.5,154.0
2026-01-04 09:00:00,-4.1,100,17.2,220.0
2026-01-04 10:00:00,-3.0,46,12.6,258.0
2026-01-04 11:00:00,-2.3,100,10.3,290.0
2026-01-04 12:00:00,-1.5,100,14.0,169.0
2026-01-04 13:00:00,-1.9,100,8.7,47.0
2026-01-04 14:00:00,-2.2,100,5.3,13.0
2026-01-04 15:00:00,-2.2,100,4.5,0.0
2026-01-04 16:00:00,-2.1,100,4.0,0.0
2026-01-04 17:00:00,-2.1,100,3.4,0.0
2026-01-04 18:00:00,-2.2,53,4.0,0.0
2026-01-04 19:00:00,-4.4,35,8.5,0.0
2026-01-04 20:00:00,-4.8,5,12.3,0.0
2026-01-04 21:00:00,-4.9,2,13.4,0.0
2026-01-04 22:00:00,-5.5,3,13.7,0.0
2026-01-04 23:00:00,-5.8,20,15.1,0.0
2026-01-05 00:00:00,-6.3,91,13.8,0.0
2026-01-05 01:00:00,-6.9,59,12.3,0.0
2026-01-05 02:00:00,-7.7,31,10.6,0.0
2026-01-05 03:00:00,-8.9,88,8.5,0.0
2026-01-05 04:00:00,-9.9,100,7.9,0.0
2026-01-05 05:00:00,-10.2,100,8.0,0.0
2026-01-05 06:00:00,-10.8,97,7.4,0.0
2026-01-05 07:00:00,-11.6,100,6.6,39.0
2026-01-05 08:00:00,-10.4,66,9.7,138.0
2026-01-05 09:00:00,-9.3,55,9.0,248.0
2026-01-05 10:00:00,-8.6,66,5.9,301.0
2026-01-05 11:00:00,-8.4,62,4.4,303.0
2026-01-05 12:00:00,-7.6,100,1.6,260.0
2026-01-05 13:00:00,-8.1,98,0.9,149.0
2026-01-05 14:00:00,-10.1,100,3.3,49.0
2026-01-05 15:00:00,-10.6,100,7.2,0.0
2026-01-05 16:00:00,-8.4,100,9.4,0.0
2026-01-05 17:00:00,-7.1,100,11.3,0.0
2026-01-05 18:00:00,-5.8,100,13.0,0.0
2026-01-05 19:00:00,-5.2,100,15.0,0.0
2026-01-05 20:00:00,-4.9,100,16.0,0.0
2026-01-05 21:00:00,-4.7,100,17.4,0.0
2026-01-05 22:00:00,-4.3,100,20.0,0.0
2026-01-05 23:00:00,-4.1,100,21.0,0.0
2026-01-06 00:00:00,-4.0,100,23.8,0.0
2026-01-06 01:00:00,-3.8,100,23.2,0.0
2026-01-06 02:00:00,-3.7,100,24.7,0.0
2026-01-06 03:00:00,-3.5,100,24.8,0.0
2026-01-06 04:00:00,-3.0,100,22.5,0.0
2026-01-06 05:00:00,-2.8,100,22.8,0.0
2026-01-06 06:00:00,-2.0,100,23.1,0.0
2026-01-06 07:00:00,-1.3,100,20.2,12.0
2026-01-06 08:00:00,-0.3,100,16.8,45.0
2026-01-06 09:00:00,0.6,100,14.2,54.0
2026-01-06 10:00:00,0.9,100,9.5,90.0
2026-01-06 11:00:00,1.0,100,8.0,114.0
2026-01-06 12:00:00,1.0,100,3.9,75.0
2026-01-06 13:00:00,0.9,100,3.9,53.0
2026-01-06 14:00:00,0.9,100,2.9,22.0
2026-01-06 15:00:00,0.9,100,1.1,0.0
2026-01-06 16:00:00,0.9,100,0.4,0.0
2026-01-06 17:00:00,0.9,100,0.7,0.0
2026-01-06 18:00:00,0.8,100,5.1,0.0
2026-01-06 19:00:00,0.7,100,6.0,0.0
2026-01-06 20:00:00,0.6,100,5.6,0.0
2026-01-06 21:00:00,0.5,100,7.0,0.0
2026-01-06 22:00:00,0.4,100,6.7,0.0
2026-01-06 23:00:00,0.3,100,7.6,0.0
2026-01-07 00:00:00,0.2,100,10.9,0.0
2026-01-07 01:00:00,0.2,100,9.4,0.0
2026-01-07 02:00:00,0.2,100,8.5,0.0
